time,PI
2018-03-27 00:00:00+00:00,0.4929605087326522
2018-03-28 00:00:00+00:00,0.846936053941329
2018-03-29 00:00:00+00:00,
2018-03-30 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-01 00:00:00+00:00,
2018-04-02 00:00:00+00:00,
2018-04-03 00:00:00+00:00,
2018-04-04 00:00:00+00:00,
2018-04-05 00:00:00+00:00,
2018-04-06 00:00:00+00:00,
2018-04-07 00:00:00+00:00,
2018-04-08 00:00:00+00:00,
2018-04-09 00:00:00+00:00,
2018-04-10 00:00:00+00:00,
2018-04-11 00:00:00+00:00,
2018-04-12 00:00:00+00:00,
2018-04-13 00:00:00+00:00,
2018-04-14 00:00:00+00:00,
2018-04-15 00:00:00+00:00,
2018-04-16 00:00:00+00:00,
2018-04-17 00:00:00+00:00,
2018-04-18 00:00:00+00:00,
2018-04-19 00:00:00+00:00,
2018-04-20 00:00:00+00:00,
2018-04-21 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-23 00:00:00+00:00,
2018-04-24 00:00:00+00:00,
2018-04-25 00:00:00+00:00,
2018-04-26 00:00:00+00:00,
2018-04-27 00:00:00+00:00,
2018-04-28 00:00:00+00:00,
2018-04-29 00:00:00+00:00,
2018-04-30 00:00:00+00:00,
2018-05-01 00:00:00+00:00,
2018-05-02 00:00:00+00:00,
2018-05-03 00:00:00+00:00,
2018-05-04 00:00:00+00:00,
2018-05-05 00:00:00+00:00,
2018-05-06 00:00:00+00:00,
2018-05-07 00:00:00+00:00,
2018-05-08 00:00:00+00:00,
2018-05-09 00:00:00+00:00,
2018-05-10 00:00:00+00:00,
2018-05-11 00:00:00+00:00,
2018-05-12 00:00:00+00:00,
2018-05-13 00:00:00+00:00,
2018-05-14 00:00:00+00:00,
2018-05-15 00:00:00+00:00,
2018-05-16 00:00:00+00:00,
2018-05-17 00:00:00+00:00,0.907906621680637
2018-05-18 00:00:00+00:00,0.9331875810445467
2018-05-19 00:00:00+00:00,0.9274079919488073
2018-05-20 00:00:00+00:00,0.9149825848912504
2018-05-21 00:00:00+00:00,0.9253032500988356
2018-05-22 00:00:00+00:00,0.8950136630529097
2018-05-23 00:00:00+00:00,0.9083364676105722
2018-05-24 00:00:00+00:00,0.9093744633316678
2018-05-25 00:00:00+00:00,0.919332871343845
2018-05-26 00:00:00+00:00,0.9235581510459994
2018-05-27 00:00:00+00:00,0.9067767885296151
2018-05-28 00:00:00+00:00,0.9131273961032512
2018-05-29 00:00:00+00:00,0.9200647551876221
2018-05-30 00:00:00+00:00,0.8999833471661415
2018-05-31 00:00:00+00:00,0.9272023029054778
2018-06-01 00:00:00+00:00,0.8632319500978375
2018-06-02 00:00:00+00:00,0.9142773665739028
2018-06-03 00:00:00+00:00,0.8953522632398767
2018-06-04 00:00:00+00:00,0.9039146025127076
2018-06-05 00:00:00+00:00,0.6372552992935836
2018-06-06 00:00:00+00:00,0.738337878951773
2018-06-07 00:00:00+00:00,0.6887736887148797
2018-06-08 00:00:00+00:00,0.7311626453558451
2018-06-09 00:00:00+00:00,0.6456698746153126
2018-06-10 00:00:00+00:00,0.7879979838603763
2018-06-11 00:00:00+00:00,0.8577887176970636
2018-06-12 00:00:00+00:00,0.8747027639014083
2018-06-13 00:00:00+00:00,0.6739210012351781
2018-06-14 00:00:00+00:00,0.9145359573834555
2018-06-15 00:00:00+00:00,0.7760727247873972
2018-06-16 00:00:00+00:00,0.9093282802550158
2018-06-17 00:00:00+00:00,0.9108302643956191
2018-06-18 00:00:00+00:00,
2018-06-19 00:00:00+00:00,0.73398544922474
2018-06-20 00:00:00+00:00,0.9061137101939781
2018-06-21 00:00:00+00:00,
2018-06-22 00:00:00+00:00,
2018-06-23 00:00:00+00:00,0.8504361843824118
2018-06-24 00:00:00+00:00,0.8894444515187131
2018-06-25 00:00:00+00:00,
2018-06-26 00:00:00+00:00,0.8876744404886451
2018-06-27 00:00:00+00:00,0.9076398715761959
2018-06-28 00:00:00+00:00,0.91801303726026
2018-06-29 00:00:00+00:00,0.6803419350975812
2018-06-30 00:00:00+00:00,0.7594154919442585
2018-07-01 00:00:00+00:00,0.8884684040564377
2018-07-02 00:00:00+00:00,
2018-07-03 00:00:00+00:00,
2018-07-04 00:00:00+00:00,0.7864614593164058
2018-07-05 00:00:00+00:00,0.8359235881904524
2018-07-06 00:00:00+00:00,0.7484765088268406
2018-07-07 00:00:00+00:00,0.8408899115412942
2018-07-08 00:00:00+00:00,0.8757482733696866
2018-07-09 00:00:00+00:00,0.8267473384444465
2018-07-10 00:00:00+00:00,0.8289092915989253
2018-07-11 00:00:00+00:00,0.8159058355879769
2018-07-12 00:00:00+00:00,0.8023219548449614
2018-07-13 00:00:00+00:00,0.8328431014463186
2018-07-14 00:00:00+00:00,0.9267671843514336
2018-07-15 00:00:00+00:00,0.9106849081037545
2018-07-16 00:00:00+00:00,0.8674062488408317
2018-07-17 00:00:00+00:00,0.8956901633105023
2018-07-18 00:00:00+00:00,0.8526509896402494
2018-07-19 00:00:00+00:00,0.8871864409604499
2018-07-20 00:00:00+00:00,
2018-07-21 00:00:00+00:00,0.8676816770414144
2018-07-22 00:00:00+00:00,0.9285802181206877
2018-07-23 00:00:00+00:00,0.9034427832563594
2018-07-24 00:00:00+00:00,0.8948858839412617
2018-07-25 00:00:00+00:00,0.8470095584074496
2018-07-26 00:00:00+00:00,0.9010225676229776
2018-07-27 00:00:00+00:00,0.8610716627754543
2018-07-28 00:00:00+00:00,0.7973057349950481
2018-07-29 00:00:00+00:00,
2018-07-30 00:00:00+00:00,0.9022084161931804
2018-07-31 00:00:00+00:00,0.8649109077508921
2018-08-01 00:00:00+00:00,0.9102565010639518
2018-08-02 00:00:00+00:00,0.9146218349412879
2018-08-03 00:00:00+00:00,0.8973014478959923
2018-08-04 00:00:00+00:00,0.7597095060011951
2018-08-05 00:00:00+00:00,0.8633767346532359
2018-08-06 00:00:00+00:00,0.8187693622691609
2018-08-07 00:00:00+00:00,0.8739574239850191
2018-08-08 00:00:00+00:00,0.9080457271542283
2018-08-09 00:00:00+00:00,0.8517305785922372
2018-08-10 00:00:00+00:00,0.8089532083561571
2018-08-11 00:00:00+00:00,0.907818311788661
2018-08-12 00:00:00+00:00,0.7361948382908261
2018-08-13 00:00:00+00:00,0.8570162526619137
2018-08-14 00:00:00+00:00,0.843696708043914
2018-08-15 00:00:00+00:00,0.8040267391184344
2018-08-16 00:00:00+00:00,0.7823935461868324
2018-08-17 00:00:00+00:00,0.875572426195091
2018-08-18 00:00:00+00:00,0.9175070445344057
2018-08-19 00:00:00+00:00,0.8176916130862317
2018-08-20 00:00:00+00:00,0.7295570196390387
2018-08-21 00:00:00+00:00,0.808176064457764
2018-08-22 00:00:00+00:00,0.8849713926920189
2018-08-23 00:00:00+00:00,
2018-08-24 00:00:00+00:00,0.7063752940289383
2018-08-25 00:00:00+00:00,
2018-08-26 00:00:00+00:00,
2018-08-27 00:00:00+00:00,0.7827730907943795
2018-08-28 00:00:00+00:00,0.8625526903878941
2018-08-29 00:00:00+00:00,0.9047018919522263
2018-08-30 00:00:00+00:00,0.8808734727940846
2018-08-31 00:00:00+00:00,0.8440213688267568
2018-09-01 00:00:00+00:00,
2018-09-02 00:00:00+00:00,0.6012858710771375
2018-09-03 00:00:00+00:00,0.9207984204101796
2018-09-04 00:00:00+00:00,0.8288555810081123
2018-09-05 00:00:00+00:00,
2018-09-06 00:00:00+00:00,
2018-09-07 00:00:00+00:00,0.7969385262383215
2018-09-08 00:00:00+00:00,
2018-09-09 00:00:00+00:00,
2018-09-10 00:00:00+00:00,0.771817865101259
2018-09-11 00:00:00+00:00,
2018-09-12 00:00:00+00:00,
2018-09-13 00:00:00+00:00,0.8468091943443595
2018-09-14 00:00:00+00:00,0.8675082337038197
2018-09-15 00:00:00+00:00,
2018-09-16 00:00:00+00:00,
2018-09-17 00:00:00+00:00,
2018-09-18 00:00:00+00:00,
2018-09-19 00:00:00+00:00,
2018-09-20 00:00:00+00:00,
2018-09-21 00:00:00+00:00,
2018-09-22 00:00:00+00:00,
2018-09-23 00:00:00+00:00,
2018-09-24 00:00:00+00:00,
2018-09-25 00:00:00+00:00,
2018-09-26 00:00:00+00:00,
2018-09-27 00:00:00+00:00,
2018-09-28 00:00:00+00:00,
2018-09-29 00:00:00+00:00,
2018-09-30 00:00:00+00:00,
2018-10-01 00:00:00+00:00,
2018-10-02 00:00:00+00:00,
2018-10-03 00:00:00+00:00,
2018-10-04 00:00:00+00:00,
2018-10-05 00:00:00+00:00,
2018-10-06 00:00:00+00:00,
2018-10-07 00:00:00+00:00,
2018-10-08 00:00:00+00:00,
2018-10-09 00:00:00+00:00,
2018-10-10 00:00:00+00:00,
2018-10-11 00:00:00+00:00,
2018-10-12 00:00:00+00:00,
2018-10-13 00:00:00+00:00,
2018-10-14 00:00:00+00:00,
2018-10-15 00:00:00+00:00,
2018-10-16 00:00:00+00:00,
2018-10-17 00:00:00+00:00,
2018-10-18 00:00:00+00:00,
2018-10-19 00:00:00+00:00,
2018-10-20 00:00:00+00:00,
2018-10-21 00:00:00+00:00,
2018-10-22 00:00:00+00:00,
2018-10-23 00:00:00+00:00,
2018-10-24 00:00:00+00:00,
2018-10-25 00:00:00+00:00,
2018-10-26 00:00:00+00:00,
2018-10-27 00:00:00+00:00,
2018-10-28 00:00:00+00:00,
