time,PVUSA
2018-03-14 00:00:00+00:00,0.6334383087079777
2018-03-15 00:00:00+00:00,0.8580701784347461
2018-03-16 00:00:00+00:00,0.9952048239698646
2018-03-17 00:00:00+00:00,0.9963301250579399
2018-03-18 00:00:00+00:00,0.8010652095197881
2018-03-19 00:00:00+00:00,
2018-03-20 00:00:00+00:00,0.8249199626597219
2018-03-21 00:00:00+00:00,
2018-03-22 00:00:00+00:00,
2018-03-23 00:00:00+00:00,1.1212090910617405
2018-03-24 00:00:00+00:00,0.8057310497874547
2018-03-25 00:00:00+00:00,1.0916900281888442
2018-03-26 00:00:00+00:00,1.1097125916950474
2018-03-27 00:00:00+00:00,0.7701363532914594
2018-03-28 00:00:00+00:00,1.0340279456909414
2018-03-29 00:00:00+00:00,1.1013869660218818
2018-03-30 00:00:00+00:00,1.083665962208866
2018-03-31 00:00:00+00:00,1.0761875106508891
2018-04-01 00:00:00+00:00,0.8560761932115324
2018-04-02 00:00:00+00:00,
2018-04-03 00:00:00+00:00,0.5785664613262278
2018-04-04 00:00:00+00:00,
2018-04-05 00:00:00+00:00,
2018-04-06 00:00:00+00:00,
2018-04-07 00:00:00+00:00,
2018-04-08 00:00:00+00:00,
2018-04-09 00:00:00+00:00,
2018-04-10 00:00:00+00:00,
2018-04-11 00:00:00+00:00,
2018-04-12 00:00:00+00:00,
2018-04-13 00:00:00+00:00,
2018-04-14 00:00:00+00:00,
2018-04-15 00:00:00+00:00,
2018-04-16 00:00:00+00:00,
2018-04-17 00:00:00+00:00,
2018-04-18 00:00:00+00:00,
2018-04-19 00:00:00+00:00,
2018-04-20 00:00:00+00:00,
2018-04-21 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-23 00:00:00+00:00,
2018-04-24 00:00:00+00:00,
2018-04-25 00:00:00+00:00,
2018-04-26 00:00:00+00:00,
2018-04-27 00:00:00+00:00,
2018-04-28 00:00:00+00:00,
2018-04-29 00:00:00+00:00,
2018-04-30 00:00:00+00:00,
2018-05-01 00:00:00+00:00,
2018-05-02 00:00:00+00:00,
2018-05-03 00:00:00+00:00,
2018-05-04 00:00:00+00:00,
2018-05-05 00:00:00+00:00,
2018-05-06 00:00:00+00:00,
2018-05-07 00:00:00+00:00,
2018-05-08 00:00:00+00:00,
2018-05-09 00:00:00+00:00,
2018-05-10 00:00:00+00:00,
2018-05-11 00:00:00+00:00,
2018-05-12 00:00:00+00:00,
2018-05-13 00:00:00+00:00,
2018-05-14 00:00:00+00:00,
2018-05-15 00:00:00+00:00,
2018-05-16 00:00:00+00:00,
2018-05-17 00:00:00+00:00,0.9850935393058078
